Kind,Name,Entity_Uniquename,Cyclomatic,RatioCommentToCode,MaxInheritanceTree,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountLine,CountLineCode,CountSemicolon,CountDeclFunction
File,"AI013103DecoderTest.java","@l./core/src/test/java/com/google/zxing/oned/rss/expanded/decoders/AI013103DecoderTest.java",,"1.17",,3,0,3,,,58,23,12,3
File,"AI013103decoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI013103decoder.java",,"1.80",,3,0,3,,,49,15,5,3
File,"AI0132023203DecoderTest.java","@l./core/src/test/java/com/google/zxing/oned/rss/expanded/decoders/AI0132023203DecoderTest.java",,"1.59",,2,0,2,,,53,17,9,2
File,"AI01320xDecoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI01320xDecoder.java",,"1.23",,3,0,3,,,57,22,7,3
File,"AI01392xDecoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI01392xDecoder.java",,"0.96",,2,0,2,,,68,28,17,2
File,"AI01393xDecoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI01393xDecoder.java",,"0.71",,2,0,2,,,78,38,22,2
File,"AI013X0X1XDecoderTest.java","@l./core/src/test/java/com/google/zxing/oned/rss/expanded/decoders/AI013X0X1XDecoderTest.java",,"0.41",,9,0,9,,,117,66,37,9
File,"AI013x0x1xDecoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI013x0x1xDecoder.java",,"0.44",,5,2,5,,,108,63,38,5
File,"AI013x0xDecoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI013x0xDecoder.java",,"1.35",,2,0,2,,,57,20,11,2
File,"AI01AndOtherAIs.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI01AndOtherAIs.java",,"1.50",,2,0,2,,,58,20,13,2
File,"AI01decoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI01decoder.java",,"0.72",,3,0,4,,,81,39,23,4
File,"AI01weightDecoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI01weightDecoder.java",,"1.23",,4,0,4,,,60,22,14,4
File,"ASCIIEncoder.java","@l./core/src/main/java/com/google/zxing/datamatrix/encoder/ASCIIEncoder.java",,"0.27",,2,0,3,,,82,59,31,3
File,"AbstractBlackBoxTestCase.java","@l./core/src/test/java/com/google/zxing/common/AbstractBlackBoxTestCase.java",,"0.15",,9,4,12,,,360,273,162,12
File,"AbstractDecoderTest.java","@l./core/src/test/java/com/google/zxing/oned/rss/expanded/decoders/AbstractDecoderTest.java",,"0.80",,0,0,1,,,77,35,30,1
File,"AbstractDoCoMoResultParser.java","@l./core/src/main/java/com/google/zxing/client/result/AbstractDoCoMoResultParser.java",,"2.78",,0,0,2,,,39,9,3,2
File,"AbstractErrorCorrectionTestCase.java","@l./core/src/test/java/com/google/zxing/pdf417/decoder/ec/AbstractErrorCorrectionTestCase.java",,"0.62",,0,0,3,,,55,29,18,3
File,"AbstractExpandedDecoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AbstractExpandedDecoder.java",,"0.57",,4,2,5,,,93,49,29,5
File,"AbstractFilter.java","@l./zxingorg/src/main/java/com/google/zxing/web/AbstractFilter.java",,"1.05",,2,0,3,,,47,19,9,3
File,"AbstractNegativeBlackBoxTestCase.java","@l./core/src/test/java/com/google/zxing/common/AbstractNegativeBlackBoxTestCase.java",,"0.30",,7,3,7,,,159,106,66,7
File,"AbstractRSSReader.java","@l./core/src/main/java/com/google/zxing/oned/rss/AbstractRSSReader.java",,"0.26",,7,6,12,,,140,97,54,12
File,"AddressBookAUResultParser.java","@l./core/src/main/java/com/google/zxing/client/result/AddressBookAUResultParser.java",,"0.48",,1,0,2,,,91,56,23,2
File,"AddressBookDoCoMoResultParser.java","@l./core/src/main/java/com/google/zxing/client/result/AddressBookDoCoMoResultParser.java",,"0.68",,1,0,2,,,92,50,20,2
File,"AddressBookParsedResult.java","@l./core/src/main/java/com/google/zxing/client/result/AddressBookParsedResult.java",,"0.30",,19,16,19,,,220,152,69,19
File,"AddressBookParsedResultTestCase.java","@l./core/src/test/java/com/google/zxing/client/result/AddressBookParsedResultTestCase.java",,"0.16",,14,0,15,,,165,125,39,15
File,"AddressBookResultHandler.java","@l./android/src/com/google/zxing/client/android/result/AddressBookResultHandler.java",,"0.15",,7,2,8,,,215,168,81,8
File,"AlignmentPattern.java","@l./core/src/main/java/com/google/zxing/qrcode/detector/AlignmentPattern.java",,"1.32",,3,1,3,,,59,22,12,3
